"client_id","client_first_name","client_middle_name","client_last_name","client_fio_full","client_bday","client_bplace","client_cityzen","client_resident_cd","client_gender","client_marital_cd","client_graduate","client_child_cnt","client_mil_cd","client_zagran_cd","client_inn","client_snils","client_vip_cd","contact_vc","contact_tg","contact_other","contact_email","contact_phone","addr_region","addr_country","addr_zip","addr_street","addr_house","addr_body","addr_flat","addr_area","addr_loc","addr_city","addr_reg_dt","addr_str","fin_rating","fin_loan_limit","fin_loan_value","fin_loan_debt","fin_loan_percent","fin_loan_begin_dt","fin_loan_end_dt","stream_favorite_show","stream_duration","create_date","update_date","source_cd"
"0","меджид","кузарович","евдунов","евдунов меджид кузарович","1992-08-23","дер. киргинцево аромашевского р-на тюменской обл.","rus","д","м","д","н","2","д","н","","","н","""""","""""","""""","evdunov@goddess.com","9262267251","63","1103","","гая","""12""","""""","""318""","""""","""""","тольятти","","""63","","","","","5","","","","","","","","[596118586]"
"1","мансыр","хирсанович","повод","повод мансыр хирсанович","1987-03-15","""""","""""","","м","","""""","1","","","","","""""","""""","""""","""""","povod@ajman.cc","9237941066","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","star wars: a new hope","1187","2020-11-13","2020-11-13","","[747208737]"
"2","нурдинбек","увайсович","бурнас","бурнас нурдинбек увайсович","1961-04-05","село диорова тячевского района закарпатской области","rus","","м","","""""","","","","","","""""","""""","""""","""""","burnas@grapemail.net","9274496708","","1103","","барвихинская","""20""","""""","""94""","""""","""""","москва","","""г.москва","","","","","","","","","","","","","[625104053]"
"3","афаят","гордиевна","бондажевская","бондажевская афаят гордиевна","1976-06-01","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","bondazevskay@firemyst.com","9821074554","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","остаться в живых","35","2021-08-17","2021-08-17","","[624196811]"
"4","сахия","фидаевна","разуева","разуева сахия фидаевна","1961-07-31","""""","""""","","ж","","""""","2","","","","","""""","""""","""""","""""","razueva@chemist.com","9562997470","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","начало","834","2022-11-05","2022-12-04","","[177500487]"
"5","аржана","мавлович","чередник","чередник аржана наилович","2003-08-14","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","herednik@saveourplanet.org","9085741074","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","большая маленькая ложь","1334","2022-11-11","2022-11-11","","[81705848, 582640419]"
"6","аимкан","агургеновна","богач","богач аимкан агургеновна","1943-11-19","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","bogah@ravefan.com","9699168743","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","шерлок","845","2024-07-26","2024-08-21","","[445441055]"
"7","арли","янис","помилов","помилов арли янис","1963-10-01","""""","""""","","м","","""""","3","","","","","""""","""""","""""","""""","pomilov@kairouan.cc","9251369172","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","очень странные дела","831","2023-08-31","2024-03-19","","[333808481]"
"8","магарам","тайевич","лыло","лыло магарам тайевич","1926-07-26","""""","""""","","м","","""""","1","","","","","""""","""""","""""","""""","lylo@coolshit.com","9268697387","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","во все тяжкие","1162","2021-07-23","2023-01-30","","[610269013]"
"9","тойдык","чукановна","лехно","лехно тойдык чукановна","1965-09-11","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","lekno@rostov.tv","9645565213","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","парк юрского периода","80","2021-02-08","2021-02-08","","[996443530]"
"10","курбонхон","жумакович","причина","причина курбонхон жумакович","1956-01-04","""""","""""","","м","","""""","2","","","","","""""","""""","""""","""""","prihina@barnaul.info","9521881141","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","шестое чувство","843","2023-05-11","2023-05-11","","[833289424]"
"11","эвальд","сайдович","драницин","драницин эвальд сайдович","1972-11-10","""""","""""","","м","","""""","0","","","","","""""","""""","""""","""""","dranizin@fit.lv","9025208650","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","мир дикого запада","1282","2020-08-04","2020-08-04","","[848760916]"
"12","эрдни","дальсебович","чихирев","чихирев эрдни дальсебович","1993-08-25","""""","""""","","м","","""""","2","","","","","""""","""""","""""","""""","hikirev@runet.biz","9862785024","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","breaking bad: el camino","1345","2020-05-31","2023-06-05","","[696077035]"
"13","бисимеля","милсович","ковардин","ковардин бисимеля милсович","1971-03-21","""""","""""","","м","","""""","0","","","","","""""","""""","""""","""""","kovardina@funkytimes.com","9516537377","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","","342","2022-05-20","2023-09-24","","[110984744]"
"14","ямия","габдулахаковна","милитас","милитас ямия габдулахаковна","1913-05-08","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","militas@111mail.com","9674078630","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","великий гэтсби","1243","2020-10-03","2020-10-03","","[837214990]"
"15","алима","тешаевна","слизких","слизких алима тешаевна","1931-08-16","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","slizkik@tula.biz","9604602217","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","пространство","1290","2020-10-02","2021-07-09","","[194834508]"
"16","ажабике","бургановна","деменкова","деменкова ажабике бургановна","0060-08-13","""""","""""","","ж","","""""","2","","","","","""""","""""","""""","""""","demenkova@sinai.cc","9311162094","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","карточный домик","733","2022-03-28","2022-05-06","","[90102044]"
"17","нора","калисламовна","бекузарова","бекузарова нора калисламовна","1900-03-05","""""","""""","","ж","","""""","3","","","","","""""","""""","""""","""""","bekuzarova@megarave.com","9373289358","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","the incredibles","223","2020-12-07","2023-11-19","","[944137510]"
"18","санья","закирияновна","ерошина","ерошина санья закирияновна","1964-05-09","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","erohina@cameroon.cc","9828268494","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","the wolf of wall street","79","2021-01-09","2021-01-09","","[576526000]"
"19","мавлюдя","муразовна","илюничева","илюничева мавлюдя муразовна","1967-02-17","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","iluniheva@geologist.com","9508063023","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","harry potter and the sorcerer's stone","892","2024-05-12","2024-07-21","","[996529519]"
"20","киёмиддин","имани оглы","федорищев","федорищев киёмиддин имани оглы","1932-04-02","п. м-курган м-курганского р-на р о россия","rus","","м","","""""","","","","","","""""","""""","""""","""""","fedorihev@murmansk.biz","9003544700","42","1103","","дзержинского","""46""","""""","""83""","""""","""""","калтан","","""42","","","","","","","","","","","","","[657676170]"
"21","нтазар","фильдусович","курошин","курошин нтазар фильдусович","1918-09-12","""""","""""","","м","","""""","1","","","","","""""","""""","""""","""""","kurohin@gospelcity.com","9819403306","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","мстители","1346","2024-04-29","2024-06-05","","[374866318]"
"22","сутузиган","вильеровна","викарий","викарий сутузиган вильеровна","1999-11-13","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","vikarij@irow.com","9993918310","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","академия амбрелла","561","2022-02-28","2022-07-31","","[4262625]"
"23","рафая","михайлована","фокова","фокова рафая михайлована","1927-02-07","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","fokova@nycmail.com","9813313998","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","помни","74","2020-07-10","2020-12-14","","[692952345]"
"24","вагенак","эммильевич","ютрин","ютрин вагенак эммильевич","1973-06-23","""""","""""","","м","","""""","0","","","","","""""","""""","""""","""""","utrin@kyrgyzstan.cc","9224869429","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","бойцовский клуб","620","2022-05-28","2022-05-28","","[663975328]"
"25","лайса","тилеуовна","путенко","путенко лайса тилеуовна","1977-05-05","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","putenko@gamerssolution.com","9039503735","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","человек-паук: нет пути домой","340","2020-01-20","2020-01-20","","[824415937]"
"26","хуршидабону","юлиановна","горлышева","горлышева хуршидабону юлиановна","2050-03-01","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","gorlyheva@volga.tv","9937313967","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","клан сопрано","906","2020-07-09","2020-07-09","","[632756293]"
"27","аймана","бремжановна","хлудова","хлудова аймана бремжановна","1987-03-05","гор. бишкек р-ки киргизия","rus","","ж","","""""","","","","","","""""","""""","""""","""""","kludova@scientist.com","9829791594","2","1103","","айская","""54""","""""","""17""","""""","""""","уфа","","""2","","","","","","","","","","","","","[586782394]"
"28","нанет","оразгельдыевна","пахнева","пахнева нанет оразгельдыевна","1967-12-20","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","pakneva@netfingers.com","9068405818","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","no time to die","768","2023-05-02","2023-05-02","","[177926863]"
"29","лазиза","асанбиевна","""","кунникова лазиза зайнутдиновна","1929-07-09","""","красноярский кр.""","""""","rus","rus","м","ж","""""","""""","","","""""","""""","""""","""""","","","""""","+7 918 546 2768","37","1103","1103","гоголя","""""","""""","""""","""""","","""""","","","","","","","","","","","","2021-12-19","[433449996, 434221384, 106426197, 867405190, 453594268, 704352866]"
"30","рифкать","клавдиевич","радецкий","радецкий рифкать клавдиевич","1960-09-08","с.конезавод боградского района красноярского края","rus","","м","","""""","","","","","","""""","""""","""""","""""","radezkij@singapore.com","9203243924","38","1103","","масловского","""30""","""""","""9""","""""","""""","нижнеудинск","","""38","","","","","","","","","","","","","[568981110]"
"31","эргашбай","руальдович","калтавских","калтавских эргашбай руальдович","1996-12-29","""""","""""","","м","","""""","1","","","","","""""","""""","""""","""""","kaltavskik@hacker.am","9949215969","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","эйфория","742","2023-05-07","2023-05-07","","[879189101]"
"32","лесбай","сережевич","шукан","шукан лесбай сережевич","1996-02-19","""""","""""","","м","","""""","1","","","","","""""","""""","""""","""""","hukan@mail333.com","9509906830","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","голодные игры","1325","2024-07-05","2024-07-05","","[392523408]"
"33","акбар","абас-оглы","шолупов","шолупов акбар абас-оглы","1995-11-13","""""","""""","","м","","""""","0","","","","","""""","""""","""""","""""","holupov@surf.co.nz","9305738810","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","отель «гранд будапешт»","780","2021-08-29","2021-12-11","","[300490944]"
"34","люсия","петерисовна","брусенцова","брусенцова люсия петерисовна","1944-05-12","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","brusenzova@musicsites.com","9938144518","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","the social network","183","2022-03-21","2023-12-01","","[317525054]"
"35","садида","кодиржановна","битная","битная садида кодиржановна","1991-04-24","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","bitnay@saintly.com","9347247220","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","gone girl","668","2024-05-14","2024-07-11","","[691044518]"
"36","даур","антоно","кокорин-бутрин","кокорин-бутрин даур антоно","1998-10-31","""""","""""","","м","","""""","1","","","","","""""","""""","""""","""""","kokorin-butrin@mahjongplayer.com","9168343487","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","история игрушек","516","2021-06-21","2023-02-03","","[522331916]"
"37","ларина","се-фан","ужегова","ужегова ларина се-фан","1923-06-27","""""","""""","","ж","","""""","3","","","","","""""","""""","""""","""""","uzegova@sanaa.cc","9246478125","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","острые козырьки","961","2023-03-07","2024-05-10","","[328540626]"
"38","фёдор","инамидин","аляпин","аляпин фёдор инамидин","1993-11-21","""""","""""","","м","","""""","0","","","","","""""","""""","""""","""""","alypin@stavropol.biz","9063236135","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","безумцы","270","2023-12-02","2023-12-02","","[965190679]"
"39","аминат","зангировна","ананг","ананг аминат зангировна","1934-04-24","""""","""""","","ж","","""""","2","","","","","""""","""""","""""","""""","anang@yahoo.com","9948029086","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","ла-ла ленд","217","2023-06-29","2023-06-29","","[622674677]"
"40","данил","лонгенович","пачкин","пачкин саил лонгенович","1957-07-10","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","masunova@music.com","9936763916","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","ходячие мертвецы","1073","2024-01-31","2024-07-30","","[555557710, 924851594]"
"41","рахметулах","мауладиевич","томулец","томулец рахметулах мауладиевич","1980-02-04","""""","""""","","м","","""""","1","","","","","""""","""""","""""","""""","tomulez@arcticmail.com","9544273052","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","дэдпул","87","2020-05-01","2020-05-01","","[196749010]"
"42","гылмжан","джавбасович","крисанчук","крисанчук гылмжан джавбасович","0055-09-10","""""","""""","","м","","""""","0","","","","","""""","""""","""""","""""","krisanhuk@hotsheet.com","9683575728","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","холодное сердце","295","2022-08-17","2022-08-17","","[172764279]"
"43","эль","ахтемович","майрханов","майрханов эль ахтемович","1996-01-13","""""","""""","","м","","""""","0","","","","","""""","""""","""""","""""","majrkanov@youthfire.com","9888462555","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","loki","795","2021-09-12","2021-09-23","","[443196828]"
"44","татос","хо-бомович","воловиков","воловиков татос хо-бомович","1919-09-29","""""","""""","","м","","""""","0","","","","","""""","""""","""""","""""","volovikov@persian.com","9228421909","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","титаник","76","2020-06-01","2020-06-01","","[953493577]"
"45","вардуш","мавлиддиновна","борткус","борткус вардуш мавлиддиновна","1927-12-11","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","bortkus@cookingfan.net","9891216674","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","gone girl","983","2021-06-02","2021-06-02","","[101627903]"
"46","фаула","кабдошевна","мисникова","мисникова фаула кабдошевна","1957-08-19","""""","""""","","ж","","""""","2","","","","","""""","""""","""""","""""","misnikova@safat.ws","9321184485","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","парк юрского периода","96","2021-01-14","2023-04-21","","[5267300]"
"47","махфуза","вадленовна","радцева","радцева махфуза вадленовна","1932-01-28","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","radzeva@streetracing.com","9677072598","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","ведьмак","1054","2024-09-14","2024-09-16","","[213278941]"
"48","шалкар","тешебаевна","пруткая","пруткая шалкар тешебаевна","1930-05-07","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","prutkay@dhahran.cc","9882706854","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","в поисках немо","239","2023-03-22","2023-03-22","","[285062867]"
"49","ильяз","очилбоевич","гилязов","гилязов ильяз очилбоевич","0019-04-03","""""","""""","","м","","""""","3","","","","","""""","""""","""""","""""","gilyzov@hullnumber.com","9396657859","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","бегущий по лезвию 2049","743","2022-11-08","2024-01-05","","[364307630]"
"50","силва","кязымовна","тотикова","тотикова силва кязымовна","1926-12-22","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","totikova@surf.co.nz","9896198484","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","парк юрского периода","910","2023-01-21","2024-06-10","","[376964485]"
"51","зия","мукадесович","подлисняк","подлисняк зия мукадесович","1956-07-05","""""","""""","","м","","""""","1","","","","","""""","""""","""""","""""","podlisnyk@floridaemail.net","9201704652","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","the wolf of wall street","662","2021-01-31","2022-07-01","","[254050750]"
"52","дурдона","анушевановна","лоот","лоот дурдона анушевановна","1974-02-24","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","loot@homs.cc","9166156941","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","narcos","1140","2022-07-16","2022-07-16","","[393549505]"
"53","гельдиган","яковлевна","цалей","цалей гельдиган яковлевна","1990-03-03","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","zalej@bigmailbox.net","9066914920","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","rick and morty","283","2022-11-23","2024-01-15","","[942089319]"
"54","мовлют","асмаевич","ордабаев","ордабаев мовлют асмаевич","1971-08-01","пос.новочернореченский","rus","","м","","""""","","","","","","""""","""""","""""","""""","ordabaev@zambia.cc","9541909390","24","1103","","""4""","""1""","""""","""66""","""""","""""","ачинск","","""24","","","","","","","","","","","","","[462410031]"
"55","кайпа","хабдрашитовна","володкевич","володкевич кайпа хабдрашитовна","1993-07-08","гор.советский тюменской области","blr","","ж","","""""","","","","","","""""","""""","""""","""""","volodkevih@baseballexpert.net","9826589768","66","1103","","ильича","""16""","""""","""14""","""""","""""","""""","","""66","","","","","","","","","","","","","[943003204]"
"56","софья","хакимуловна","тельцова","тельцова софья хакимуловна","0072-07-07","""""","""""","","ж","","""""","3","","","","","""""","""""","""""","""""","tel_zova@ratedx.net","9899277564","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","фарго","365","2023-10-19","2023-10-19","","[490212475]"
"57","гаполма","аскендеровна","юпец","юпец гаполма аскендеровна","1993-07-27","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","upez@aqaba.cc","9673344001","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","человек-паук: через вселенные","1278","2023-02-05","2023-02-05","","[254476042]"
"58","зекерийа","асой","тыклева","тыклева зекерийа асой","1964-10-08","""""","""""","","ж","","""""","0","","","","","""""","""""","""""","""""","tykleva@123iran.com","9315691900","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","дюна","155","2019-10-01","2022-10-23","","[214456697]"
"59","анаханум","юлдашевна","рудуш","рудуш анаханум юлдашевна","1992-11-19","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","ruduh@gobot.com","9879295816","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","no time to die","96","2020-10-03","2020-10-03","","[933830743]"
"60","умар","анвер оглы","карлы","карлы умар анвер оглы","1940-04-15","""""","""""","","м","","""""","1","","","","","""""","""""","""""","""""","karly@netzoola.com","9935399259","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","mad men","1479","2020-03-12","2020-03-12","","[80226465]"
"61","хандадаш","айкович","тукаев","тукаев хандадаш айкович","1962-01-20","""""","""""","","м","","""""","2","","","","","""""","""""","""""","""""","tukaev@jerash.cc","9298415749","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","euphoria","874","2024-01-26","2024-05-13","","[829855522]"
"62","мадына","феопеновна","эшов","эшов мадына феопеновна","1990-11-23","""""","""""","","ж","","""""","2","","","","","""""","""""","""""","""""","ehov@mail15.com","9001871591","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","the truman show","95","2022-09-23","2024-07-29","","[331657762]"
"63","рево","утешович","филашов","филашов рево утешович","1925-09-30","""""","""""","","м","","""""","1","","","","","""""","""""","""""","""""","filahov@meta.ua","9498845529","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","","848","2020-04-26","2020-04-26","","[984366538]"
"64","жалил","оразбекевич","гомыдов","гомыдов жалил оразбекевич","1955-12-05","""""","""""","","м","","""""","0","","","","","""""","""""","""""","""""","gomydov@amman.cc","9948245585","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","gone girl","1204","2023-08-23","2023-08-23","","[610452048]"
"65","люмила","батуевна","ожог","ожог люмила батуевна","1975-07-16","""""","""""","","ж","","""""","3","","","","","""""","""""","""""","""""","ozog@radiomail.ru","9556297982","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","красавица и чудовище","610","2022-08-04","2022-08-04","","[104756146]"
"66","хаитбой","хуртвелиевич","коленченко","коленченко хаитбой хуртвелиевич","1974-12-15","""""","""""","","м","","""""","0","","","","","""""","""""","""""","""""","kolenhenko@lucky7lotto.net","7917253757","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","бумажный дом","0","2021-03-05","2023-04-27","","[212997313]"
"67","акслу","пахрутдиновна","русская","русская акслу пахрутдиновна","1980-05-22","""""","""""","","ж","","""""","1","","","","","""""","""""","""""","""""","russkay@optician.com","9309109253","","","","""""","""""","""""","""""","""""","""""","""""","","""""","","","","","","","","","1491","2020-11-02","2023-08-24","","[249530918]"
